Sample	Strand Bias
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	0.13446969697
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	2.21052631579
2.SRR3721964.fasta	2.1
2.SRR3721964.fasta	2.375
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	4.25
2.SRR3721964.fasta	2.63636363636
2.SRR3721964.fasta	3.4
2.SRR3721964.fasta	2.33333333333
2.SRR3721964.fasta	3.0
2.SRR3721964.fasta	2.66666666667
2.SRR3721964.fasta	0.75
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	2.79607843137
2.SRR3721964.fasta	2.63636363636
2.SRR3721964.fasta	1.78571428571
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	3.71428571429
2.SRR3721964.fasta	2.375
2.SRR3721964.fasta	3.77777777778
2.SRR3721964.fasta	2.75
2.SRR3721964.fasta	3.22222222222
2.SRR3721964.fasta	2.44444444444
2.SRR3721964.fasta	2.42857142857
2.SRR3721964.fasta	3.88235294118
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	3.50194099379
2.SRR3721964.fasta	0.0259575815131
2.SRR3721964.fasta	0.0406896551724
2.SRR3721964.fasta	0.018074912892
2.SRR3721964.fasta	0.0194468452895
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	0.0
2.SRR3721964.fasta	0.0180339462518
2.SRR3721964.fasta	2.51612903226
2.SRR3721964.fasta	0.0
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	0.4
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	2.5
7.SRR3722197.fasta	3.0
7.SRR3722197.fasta	3.875
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	0.0739795918367
7.SRR3722197.fasta	0.0351333767079
7.SRR3722197.fasta	2.25
7.SRR3722197.fasta	1.92307692308
7.SRR3722197.fasta	5.0
7.SRR3722197.fasta	3.25
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	2.6
7.SRR3722197.fasta	3.28571428571
7.SRR3722197.fasta	3.11111111111
7.SRR3722197.fasta	2.46050420168
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	2.71428571429
7.SRR3722197.fasta	2.81818181818
7.SRR3722197.fasta	3.1
7.SRR3722197.fasta	2.83333333333
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	3.30769230769
7.SRR3722197.fasta	3.55555555556
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	3.75
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	3.57142857143
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	0.0337199202984
7.SRR3722197.fasta	3.22727272727
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	3.84210526316
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	2.53333333333
7.SRR3722197.fasta	0.729516097937
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	0.0
7.SRR3722197.fasta	2.42857142857
7.SRR3722197.fasta	0.0
8.SRR3722208.fasta	0.952380952381
8.SRR3722208.fasta	1.05
8.SRR3722208.fasta	1.33333333333
8.SRR3722208.fasta	0.225
8.SRR3722208.fasta	2.25
8.SRR3722208.fasta	1.05
8.SRR3722208.fasta	0.225
8.SRR3722208.fasta	0.75
8.SRR3722208.fasta	0.0
8.SRR3722208.fasta	0.225
8.SRR3722208.fasta	1.25
8.SRR3722208.fasta	0.291666666667
8.SRR3722208.fasta	0.0
8.SRR3722208.fasta	0.0
8.SRR3722208.fasta	0.0
8.SRR3722208.fasta	0.0
8.SRR3722208.fasta	0.75
8.SRR3722208.fasta	0.0
8.SRR3722208.fasta	0.225
8.SRR3722208.fasta	0.416666666667
8.SRR3722208.fasta	0.0
8.SRR3722208.fasta	0.0
8.SRR3722208.fasta	0.75
8.SRR3722208.fasta	0.416666666667
8.SRR3722208.fasta	0.416666666667
8.SRR3722208.fasta	0.0
8.SRR3722208.fasta	0.416666666667
8.SRR3722208.fasta	1.68518518519
8.SRR3722208.fasta	0.533333333333
8.SRR3722208.fasta	0.533333333333
8.SRR3722208.fasta	0.416666666667
8.SRR3722208.fasta	0.291666666667
